v8-version,6,1,534,50,0
code-creation,Builtin,5,5072,0x267ee72d0900,1024,"AsyncGeneratorPrototypeReturn"
code-creation,Builtin,5,5077,0x267ee72d0d00,1024,"AsyncGeneratorPrototypeThrow"
code-creation,Builtin,5,5083,0x267ee72d1100,134,"Illegal"
code-creation,Builtin,5,5088,0x267ee72d11a0,134,"ObjectAssign"
code-creation,Builtin,5,5094,0x267ee72d1240,134,"ObjectGetOwnPropertyDescriptor"
code-creation,Builtin,5,5099,0x267ee72d12e0,134,"ObjectGetOwnPropertyDescriptors"
code-creation,Builtin,5,5105,0x267ee72d1380,134,"ObjectGetOwnPropertyNames"
code-creation,Builtin,5,5110,0x267ee72d1420,134,"ObjectGetOwnPropertySymbols"
code-creation,Builtin,5,5116,0x267ee72d14c0,134,"ObjectIs"
code-creation,Builtin,5,5121,0x267ee72d1560,134,"ObjectPreventExtensions"
code-creation,Builtin,5,5127,0x267ee72d1600,134,"ObjectSeal"
code-creation,Builtin,5,5132,0x267ee72d16a0,972,"ObjectCreate"
code-creation,Builtin,5,5138,0x267ee72d1a80,134,"ObjectDefineProperties"
code-creation,Builtin,5,5143,0x267ee72d1b20,134,"ObjectDefineProperty"
code-creation,Builtin,5,5160,0x267ee72d1bc0,134,"ObjectFreeze"
code-creation,Builtin,5,5166,0x267ee72d1c60,134,"ObjectGetPrototypeOf"
code-creation,Builtin,5,5171,0x267ee72d1d00,134,"ObjectSetPrototypeOf"
code-creation,Builtin,5,5177,0x267ee72d1da0,134,"ObjectIsExtensible"
code-creation,Builtin,5,5182,0x267ee72d1e40,134,"ObjectIsFrozen"
code-creation,Builtin,5,5188,0x267ee72d1ee0,134,"ObjectIsSealed"
code-creation,Builtin,5,5193,0x267ee72d1f80,640,"ObjectKeys"
code-creation,Builtin,5,5199,0x267ee72d2200,134,"ObjectEntries"
code-creation,Builtin,5,5204,0x267ee72d22a0,134,"ObjectValues"
code-creation,Builtin,5,5210,0x267ee72d2340,134,"ObjectDefineGetter"
code-creation,Builtin,5,5215,0x267ee72d23e0,134,"ObjectDefineSetter"
code-creation,Builtin,5,5221,0x267ee72d2480,2155,"ObjectHasOwnProperty"
code-creation,Builtin,5,5226,0x267ee72d2d00,134,"ObjectLookupGetter"
code-creation,Builtin,5,5232,0x267ee72d2da0,134,"ObjectLookupSetter"
code-creation,Builtin,5,5237,0x267ee72d2e40,319,"ObjectPrototypeIsPrototypeOf"
code-creation,Builtin,5,5243,0x267ee72d2f80,134,"ObjectPrototypePropertyIsEnumerable"
code-creation,Builtin,5,5248,0x267ee72d3020,880,"ObjectProtoToString"
code-creation,Builtin,5,5254,0x267ee72d33a0,139,"ObjectPrototypeValueOf"
code-creation,Builtin,5,5259,0x267ee72d3440,134,"ObjectPrototypeGetProto"
code-creation,Builtin,5,5264,0x267ee72d34e0,134,"ObjectPrototypeSetProto"
code-creation,Builtin,5,5270,0x267ee72d3580,134,"FunctionConstructor"
code-creation,Builtin,5,5276,0x267ee72d3620,160,"FunctionPrototypeApply"
code-creation,Builtin,5,5281,0x267ee72d36c0,1392,"CallWithArrayLike"
code-creation,Builtin,5,5286,0x267ee72d3c40,177,"CallVarargs"
code-creation,Builtin,5,5292,0x267ee72d3d00,964,"FastFunctionPrototypeBind"
code-creation,Builtin,5,5297,0x267ee72d40e0,134,"FunctionPrototypeBind"
code-creation,Builtin,5,5303,0x267ee72d4180,143,"FunctionPrototypeCall"
code-creation,Builtin,5,5308,0x267ee72d4220,134,"FunctionPrototypeToString"
code-creation,Builtin,5,5314,0x267ee72d42c0,355,"FunctionPrototypeHasInstance"
code-creation,Builtin,5,5319,0x267ee72d4440,143,"AsyncIteratorValueUnwrap"
code-creation,Builtin,5,5324,0x267ee72d44e0,1160,"AsyncGeneratorAwaitCaught"
code-creation,Builtin,5,5330,0x267ee72d4980,1136,"AsyncGeneratorAwaitUncaught"
code-creation,Builtin,5,5335,0x267ee72d4e00,251,"AsyncGeneratorAwaitResolveClosure"
code-creation,Builtin,5,5341,0x267ee72d4f00,259,"AsyncGeneratorAwaitRejectClosure"
code-creation,Builtin,5,5346,0x267ee72d5020,116,"ArrayCode"
code-creation,Builtin,5,5352,0x267ee72d50a0,203,"ArrayIsArray"
code-creation,Builtin,5,5357,0x267ee72d5180,134,"ArrayConcat"
code-creation,Builtin,5,5363,0x267ee72d5220,763,"FastArrayPop"
code-creation,Builtin,5,5368,0x267ee72d5520,134,"ArrayPop"
code-creation,Builtin,5,5374,0x267ee72d55c0,2660,"FastArrayPush"
code-creation,Builtin,5,5379,0x267ee72d6040,134,"ArrayPush"
code-creation,Builtin,5,5384,0x267ee72d60e0,1176,"FastArrayShift"
code-creation,Builtin,5,5390,0x267ee72d6580,134,"ArrayShift"
code-creation,Builtin,5,5395,0x267ee72d6620,134,"ArrayUnshift"
code-creation,Builtin,5,5401,0x267ee72d66c0,134,"ArraySlice"
code-creation,Builtin,5,5406,0x267ee72d6760,134,"ArraySplice"
code-creation,Builtin,5,5412,0x267ee72d6800,1556,"ArrayIncludes"
code-creation,Builtin,5,5417,0x267ee72d6e20,1292,"ArrayIndexOf"
code-creation,Builtin,5,5423,0x267ee72d7340,502,"ArrayPrototypeKeys"
code-creation,Builtin,5,5428,0x267ee72d7540,646,"ArrayPrototypeEntries"
