v8-version,6,1,534,50,0
code-creation,Stub,3,5455,0x2594e21bfc00,2242,"RecordWriteStub"
code-creation,Stub,3,5461,0x2594e21c04e0,2241,"RecordWriteStub"
code-creation,Stub,3,5468,0x2594e21c0dc0,980,"RecordWriteStub"
code-creation,Stub,3,5475,0x2594e21c11a0,206,"InternalArrayConstructorStub"
code-creation,Stub,3,5482,0x2594e21c1280,2266,"RecordWriteStub"
code-creation,Stub,3,5489,0x2594e21c1b60,183,"DoubleToIStub"
code-creation,Stub,3,5495,0x2594e21c1c20,2241,"RecordWriteStub"
code-creation,Stub,3,5502,0x2594e21c2500,986,"RecordWriteStub"
code-creation,Stub,3,5509,0x2594e21c28e0,2242,"RecordWriteStub"
code-creation,Stub,3,5516,0x2594e21c31c0,2269,"RecordWriteStub"
code-creation,Stub,3,5523,0x2594e21c3aa0,2270,"RecordWriteStub"
code-creation,Stub,3,5529,0x2594e21c4380,2270,"RecordWriteStub"
code-creation,Stub,3,5536,0x2594e21c4c60,2253,"RecordWriteStub"
code-creation,Stub,3,5543,0x2594e21c5540,2311,"RecordWriteStub"
code-creation,Stub,3,5550,0x2594e21c5e60,2326,"RecordWriteStub"
code-creation,Stub,3,5557,0x2594e21c6780,365,"CEntryStub"
code-creation,Stub,3,5564,0x2594e21c6900,2254,"RecordWriteStub"
code-creation,Stub,3,5570,0x2594e21c71e0,2275,"RecordWriteStub"
code-creation,Stub,3,5577,0x2594e21c7ae0,2238,"RecordWriteStub"
code-creation,Stub,3,5584,0x2594e21c83a0,2308,"RecordWriteStub"
code-creation,Stub,3,5591,0x2594e21c8cc0,2284,"RecordWriteStub"
code-creation,Stub,3,5598,0x2594e21c95c0,565,"CEntryStub"
code-creation,Stub,3,5604,0x2594e21c9800,2300,"RecordWriteStub"
code-creation,Stub,3,5611,0x2594e21ca100,2253,"RecordWriteStub"
code-creation,Stub,3,5618,0x2594e21ca9e0,2266,"RecordWriteStub"
code-creation,Builtin,5,5625,0x2594e21cb2c0,134,"StrictPoisonPillThrower"
code-creation,Builtin,5,5632,0x2594e21cb360,124,"ReturnReceiver"
code-creation,Builtin,5,5639,0x2594e21cb3e0,530,"GeneratorPrototypeNext"
code-creation,Builtin,5,5649,0x2594e21cb600,338,"ResumeGeneratorTrampoline"
code-creation,Builtin,5,5656,0x2594e21cb760,335,"CreateIterResultObject"
code-creation,Builtin,5,5663,0x2594e21cb8c0,534,"GeneratorPrototypeReturn"
code-creation,Builtin,5,5670,0x2594e21cbae0,546,"GeneratorPrototypeThrow"
code-creation,Builtin,5,5677,0x2594e21cbd20,1656,"AsyncFromSyncIteratorPrototypeNext"
code-creation,Builtin,5,5686,0x2594e21cc3a0,200,"ToBoolean"
code-creation,Builtin,5,5693,0x2594e21cc480,4284,"ResolveNativePromise"
code-creation,Builtin,5,5700,0x2594e21cd540,448,"StringEqual"
code-creation,Builtin,5,5707,0x2594e21cd700,5296,"PerformNativePromiseThen"
code-creation,Builtin,5,5713,0x2594e21cebc0,828,"RejectNativePromise"
code-creation,Builtin,5,5720,0x2594e21cef00,2192,"AsyncFromSyncIteratorPrototypeReturn"
code-creation,Builtin,5,5727,0x2594e21cf7a0,1680,"AsyncFromSyncIteratorPrototypeThrow"
code-creation,Builtin,5,5734,0x2594e21cfe40,1024,"AsyncGeneratorPrototypeNext"
code-creation,Builtin,5,5751,0x2594e21d0240,491,"AsyncGeneratorResumeNext"
code-creation,Builtin,5,5758,0x2594e21d0440,980,"AsyncGeneratorResolve"
code-creation,Builtin,5,5765,0x2594e21d0820,207,"AsyncGeneratorReject"
code-creation,Builtin,5,5772,0x2594e21d0900,1024,"AsyncGeneratorPrototypeReturn"
code-creation,Builtin,5,5779,0x2594e21d0d00,1024,"AsyncGeneratorPrototypeThrow"
tick,0x7fff758292c2,5794,0,0x0,4
code-creation,Builtin,5,5820,0x2594e21d1100,134,"Illegal"
code-creation,Builtin,5,5830,0x2594e21d11a0,134,"ObjectAssign"
code-creation,Builtin,5,5837,0x2594e21d1240,134,"ObjectGetOwnPropertyDescriptor"
code-creation,Builtin,5,5845,0x2594e21d12e0,134,"ObjectGetOwnPropertyDescriptors"
code-creation,Builtin,5,5852,0x2594e21d1380,134,"ObjectGetOwnPropertyNames"
code-creation,Builtin,5,5858,0x2594e21d1420,134,"ObjectGetOwnPropertySymbols"
code-creation,Builtin,5,5865,0x2594e21d14c0,134,"ObjectIs"
code-creation,Builtin,5,5872,0x2594e21d1560,134,"ObjectPreventExtensions"
code-creation,Builtin,5,5879,0x2594e21d1600,134,"ObjectSeal"
code-creation,Builtin,5,5886,0x2594e21d16a0,972,"ObjectCreate"
code-creation,Builtin,5,5893,0x2594e21d1a80,134,"ObjectDefineProperties"
code-creation,Builtin,5,5918,0x2594e21d1b20,134,"ObjectDefineProperty"
code-creation,Builtin,5,5926,0x2594e21d1bc0,134,"ObjectFreeze"
code-creation,Builtin,5,5933,0x2594e21d1c60,134,"ObjectGetPrototypeOf"
code-creation,Builtin,5,5939,0x2594e21d1d00,134,"ObjectSetPrototypeOf"
code-creation,Builtin,5,5946,0x2594e21d1da0,134,"ObjectIsExtensible"
code-creation,Builtin,5,5953,0x2594e21d1e40,134,"ObjectIsFrozen"
code-creation,Builtin,5,5960,0x2594e21d1ee0,134,"ObjectIsSealed"
code-creation,Builtin,5,5967,0x2594e21d1f80,640,"ObjectKeys"
code-creation,Builtin,5,5973,0x2594e21d2200,134,"ObjectEntries"
code-creation,Builtin,5,5998,0x2594e21d22a0,134,"ObjectValues"
code-creation,Builtin,5,6044,0x2594e21d2340,134,"ObjectDefineGetter"
code-creation,Builtin,5,6059,0x2594e21d23e0,134,"ObjectDefineSetter"
code-creation,Builtin,5,6069,0x2594e21d2480,2155,"ObjectHasOwnProperty"
code-creation,Builtin,5,6078,0x2594e21d2d00,134,"ObjectLookupGetter"
code-creation,Builtin,5,6088,0x2594e21d2da0,134,"ObjectLookupSetter"
code-creation,Builtin,5,6099,0x2594e21d2e40,319,"ObjectPrototypeIsPrototypeOf"
code-creation,Builtin,5,6110,0x2594e21d2f80,134,"ObjectPrototypePropertyIsEnumerable"
code-creation,Builtin,5,6120,0x2594e21d3020,880,"ObjectProtoToString"
code-creation,Builtin,5,6131,0x2594e21d33a0,139,"ObjectPrototypeValueOf"
code-creation,Builtin,5,6142,0x2594e21d3440,134,"ObjectPrototypeGetProto"
code-creation,Builtin,5,6152,0x2594e21d34e0,134,"ObjectPrototypeSetProto"
code-creation,Builtin,5,6174,0x2594e21d3580,134,"FunctionConstructor"
code-creation,Builtin,5,6189,0x2594e21d3620,160,"FunctionPrototypeApply"
code-creation,Builtin,5,6198,0x2594e21d36c0,1392,"CallWithArrayLike"
code-creation,Builtin,5,6205,0x2594e21d3c40,177,"CallVarargs"
code-creation,Builtin,5,6213,0x2594e21d3d00,964,"FastFunctionPrototypeBind"
code-creation,Builtin,5,6220,0x2594e21d40e0,134,"FunctionPrototypeBind"
code-creation,Builtin,5,6228,0x2594e21d4180,143,"FunctionPrototypeCall"
code-creation,Builtin,5,6236,0x2594e21d4220,134,"FunctionPrototypeToString"
code-creation,Builtin,5,6243,0x2594e21d42c0,355,"FunctionPrototypeHasInstance"
