v8-version,6,1,534,50,0
code-creation,Stub,3,4913,0x157115639960,2307,"RecordWriteStub"
code-creation,Stub,3,4919,0x15711563a280,2254,"RecordWriteStub"
code-creation,Stub,3,4924,0x15711563ab60,185,"DoubleToIStub"
code-creation,Stub,3,4930,0x15711563ac20,2283,"RecordWriteStub"
code-creation,Stub,3,4935,0x15711563b520,978,"RecordWriteStub"
code-creation,Stub,3,4940,0x15711563b900,2257,"RecordWriteStub"
code-creation,Stub,3,4946,0x15711563c1e0,2292,"RecordWriteStub"
code-creation,Stub,3,4951,0x15711563cae0,2241,"RecordWriteStub"
code-creation,Stub,3,4956,0x15711563d3c0,2279,"RecordWriteStub"
code-creation,Stub,3,4962,0x15711563dcc0,972,"RecordWriteStub"
code-creation,Stub,3,4967,0x15711563e0a0,2254,"RecordWriteStub"
code-creation,Stub,3,4973,0x15711563e980,431,"InternalArraySingleArgumentConstructorStub"
code-creation,Handler,4,4978,0x15711563eb40,688,"An IC handler from the snapshot"
code-creation,Stub,3,4984,0x15711563ee00,974,"RecordWriteStub"
code-creation,Stub,3,5001,0x15711563f1e0,2254,"RecordWriteStub"
code-creation,Stub,3,5007,0x15711563fac0,295,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,5012,0x15711563fc00,2242,"RecordWriteStub"
code-creation,Stub,3,5018,0x1571156404e0,2241,"RecordWriteStub"
code-creation,Stub,3,5023,0x157115640dc0,980,"RecordWriteStub"
code-creation,Stub,3,5029,0x1571156411a0,206,"InternalArrayConstructorStub"
code-creation,Stub,3,5034,0x157115641280,2266,"RecordWriteStub"
code-creation,Stub,3,5039,0x157115641b60,183,"DoubleToIStub"
code-creation,Stub,3,5045,0x157115641c20,2241,"RecordWriteStub"
code-creation,Stub,3,5050,0x157115642500,986,"RecordWriteStub"
code-creation,Stub,3,5056,0x1571156428e0,2242,"RecordWriteStub"
code-creation,Stub,3,5061,0x1571156431c0,2269,"RecordWriteStub"
code-creation,Stub,3,5066,0x157115643aa0,2270,"RecordWriteStub"
code-creation,Stub,3,5072,0x157115644380,2270,"RecordWriteStub"
code-creation,Stub,3,5077,0x157115644c60,2253,"RecordWriteStub"
code-creation,Stub,3,5082,0x157115645540,2311,"RecordWriteStub"
code-creation,Stub,3,5088,0x157115645e60,2326,"RecordWriteStub"
code-creation,Stub,3,5093,0x157115646780,365,"CEntryStub"
code-creation,Stub,3,5099,0x157115646900,2254,"RecordWriteStub"
code-creation,Stub,3,5104,0x1571156471e0,2275,"RecordWriteStub"
code-creation,Stub,3,5110,0x157115647ae0,2238,"RecordWriteStub"
code-creation,Stub,3,5115,0x1571156483a0,2308,"RecordWriteStub"
code-creation,Stub,3,5120,0x157115648cc0,2284,"RecordWriteStub"
code-creation,Stub,3,5126,0x1571156495c0,565,"CEntryStub"
code-creation,Stub,3,5131,0x157115649800,2300,"RecordWriteStub"
code-creation,Stub,3,5139,0x15711564a100,2253,"RecordWriteStub"
code-creation,Stub,3,5145,0x15711564a9e0,2266,"RecordWriteStub"
code-creation,Builtin,5,5150,0x15711564b2c0,134,"StrictPoisonPillThrower"
code-creation,Builtin,5,5156,0x15711564b360,124,"ReturnReceiver"
code-creation,Builtin,5,5161,0x15711564b3e0,530,"GeneratorPrototypeNext"
code-creation,Builtin,5,5182,0x15711564b600,338,"ResumeGeneratorTrampoline"
tick,0x7fff7576a796,5197,0,0x0,4
code-creation,Builtin,5,5217,0x15711564b760,335,"CreateIterResultObject"
code-creation,Builtin,5,5225,0x15711564b8c0,534,"GeneratorPrototypeReturn"
code-creation,Builtin,5,5231,0x15711564bae0,546,"GeneratorPrototypeThrow"
code-creation,Builtin,5,5237,0x15711564bd20,1656,"AsyncFromSyncIteratorPrototypeNext"
code-creation,Builtin,5,5246,0x15711564c3a0,200,"ToBoolean"
code-creation,Builtin,5,5251,0x15711564c480,4284,"ResolveNativePromise"
code-creation,Builtin,5,5257,0x15711564d540,448,"StringEqual"
code-creation,Builtin,5,5262,0x15711564d700,5296,"PerformNativePromiseThen"
